Customer ID,Status,days_ago_joined,Age,accum_points,points_per_day,days_ago_last_arrived,arrivals_count,Australia,China,Hong Kong,Indonesia,Japan,Malaysia,Philippines,Singapore,Taiwan,Thailand,United Arab Emirates,United States of America,Diamond,Jade,Platinum,Royal,Ruby
1975,0,2329,50,0,0,1509,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1976,1,2329,55,32990,14.16,445,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1977,1,2329,37,38053,16.34,142,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1978,1,2329,45,17200,7.39,902,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1979,1,2329,68,43590,18.72,-204,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1980,1,2329,39,31240,13.41,414,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1981,1,2329,40,67800,29.11,-79,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1983,1,2329,46,91180,39.15,259,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1984,1,2329,70,26650,11.44,581,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1985,1,2329,71,24400,10.48,434,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1986,1,2322,38,56015,24.12,460,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1988,1,2322,62,269299,115.98,265,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1989,1,2322,44,47033,20.26,1283,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1990,1,2322,54,22000,9.47,306,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1991,1,2322,52,37640,16.21,499,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1992,0,2322,45,12151,5.23,1468,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1993,1,2322,46,113119,48.72,-136,16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,1,2322,46,31235,13.45,499,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1995,1,2322,45,48435,20.86,110,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1996,1,2322,48,32905,14.17,139,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1997,1,2322,50,126590,54.52,-227,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1998,1,2322,52,43350,18.67,129,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1999,1,2322,66,116755,50.28,93,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2000,1,2322,60,49130,21.16,478,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2002,1,2322,50,24000,10.34,26,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2003,1,2322,41,37080,15.97,18,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2004,1,2322,56,43225,18.62,859,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2005,1,2322,44,115790,49.87,-11,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2006,1,2322,39,25640,11.04,235,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2007,1,2322,44,7025,3.03,1146,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2008,1,2322,39,32500,14,208,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2009,0,2322,50,0,0,208,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2010,1,2322,45,44095,18.99,460,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2012,1,2322,56,26115,11.25,498,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2013,0,2322,51,0,0,498,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2014,0,2322,43,11805,5.08,2020,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2016,1,2322,53,65850,28.36,647,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2017,1,2322,39,26830,11.55,558,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018,1,2322,40,15560,6.7,9,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2019,1,2322,59,88655,38.18,-6,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2020,1,2322,44,124876,53.78,365,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,1,2322,55,81975,35.3,-19,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2022,1,2322,53,32750,14.1,72,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2023,1,2322,43,30376,13.08,601,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2024,1,2322,54,31130,13.41,56,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,1,2313,75,170375,73.66,19,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2026,1,2313,51,71160,30.77,-106,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2027,1,2313,43,29520,12.76,317,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2028,1,2313,43,28145,12.17,43,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2029,1,2313,40,32555,14.07,520,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2030,1,2313,40,85650,37.03,135,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2031,1,2313,65,51175,22.12,138,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2032,1,2313,44,42850,18.53,403,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2034,1,2313,55,37175,16.07,17,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2035,1,2313,65,22780,9.85,649,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2037,1,2313,64,57210,24.73,-136,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2038,1,2313,36,16845,7.28,1445,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2039,1,2313,45,54975,23.77,293,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2041,1,2313,47,53050,22.94,-44,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2042,1,2313,59,39930,17.26,152,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2043,1,2313,45,75080,32.46,138,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2044,1,2313,63,53538,23.15,-75,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2045,1,2313,57,108905,47.08,-101,27,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2046,1,2313,45,92305,39.91,75,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2047,1,2313,56,51220,22.14,1107,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2048,1,2313,53,33860,14.64,629,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2049,1,2313,47,120790,52.22,129,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2050,1,2313,51,40025,17.3,443,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2054,1,2313,39,5250,2.27,989,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2055,1,2313,43,26400,11.41,399,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2057,1,2313,41,37325,16.14,269,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2058,0,2313,44,1200,0.52,2156,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2059,1,2313,44,94665,40.93,243,21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2060,1,2313,58,32860,14.21,110,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2061,1,2344,66,88415,37.72,499,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2062,1,2308,45,93200,40.38,219,21,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2063,1,2308,48,150925,65.39,68,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2064,1,2308,40,6615,2.87,1669,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2065,1,2308,47,68549,29.7,-42,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2066,1,2308,50,124440,53.92,358,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2067,1,2308,63,67900,29.42,142,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2068,1,2308,76,111835,48.46,187,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2070,1,2308,46,46350,20.08,488,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2072,1,2308,63,28825,12.49,363,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2073,1,2308,53,69000,29.9,137,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2074,1,2308,52,36445,15.79,340,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2076,1,2308,41,66575,28.85,-39,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2077,0,2308,44,0,0,-39,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2078,1,2308,50,9945,4.31,1254,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2079,1,2308,57,56800,24.61,-72,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2082,1,2308,44,52288,22.66,144,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2083,1,2308,49,63250,27.4,128,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2085,1,2301,58,57300,24.9,60,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2087,1,2301,70,48930,21.26,111,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2088,1,2301,44,19700,8.56,250,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2089,1,2301,51,43510,18.91,-45,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2090,1,2301,55,32250,14.02,1496,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2091,1,2301,42,88540,38.48,812,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2095,1,2301,56,15690,6.82,1114,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2096,1,2301,36,85095,36.98,-203,14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2097,1,2301,47,10890,4.73,2089,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2098,1,2301,59,58240,25.31,-152,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2099,1,2301,47,63455,27.58,139,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2100,1,2301,37,13650,5.93,869,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2101,1,2301,36,17825,7.75,864,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2102,1,2301,47,46890,20.38,235,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2103,1,2301,49,104225,45.3,137,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2105,1,2301,47,103680,45.06,129,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2106,1,2301,36,48350,21.01,488,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2108,1,2301,46,7700,3.35,1724,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2109,1,2301,54,80763,35.1,126,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2110,1,2301,41,35276,15.33,1499,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2111,1,2294,65,146150,63.71,198,18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2112,1,2294,51,66900,29.16,146,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2113,1,2294,45,91830,40.03,22,26,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2114,1,2294,60,409026,178.3,125,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2115,1,2294,44,64950,28.31,25,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2118,1,2294,46,40400,17.61,229,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2119,1,2294,41,45750,19.94,153,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2121,0,2294,42,0,0,1728,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2122,0,2294,39,3800,1.66,1888,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
